match_id,match_type,teams,date,city,venue,has_innings_data,innings_count,total_deliveries
1378014,T20,Germany|Italy,2023-06-01,St Saviour,"Grainville, St Saviour, Jersey",True,2,257
1405316,T20,Hong Kong|Kuwait,2023-10-30,Kathmandu,Mulpani Cricket Ground,True,2,246
1450204,T20,Norway|Luxembourg,2024-09-15,Koge,Koge Cricket Club 2,True,2,285
1450828,T20,Oman|Canada,2024-10-03,King City,"Maple Leaf North-West Ground, King City",True,2,208
1089243,T20,United Arab Emirates|Papua New Guinea,2017-04-14,Abu Dhabi,Sheikh Zayed Stadium,True,2,241
533311,T20,England|New Zealand,2012-10-04,Colombo,R Premadasa Stadium,True,2,230
1449011,T20,South Africa|Pakistan,2024-09-16,Multan,Multan Cricket Stadium,True,2,251
1398280,T20,New Zealand|England,2024-07-13,London,"Kennington Oval, London",True,2,195
690353,T20,Bangladesh|Sri Lanka,2014-02-14,Chittagong,Zahur Ahmed Chowdhury Stadium,True,2,245
412695,T20,West Indies|India,2010-05-09,Barbados,"Kensington Oval, Bridgetown",True,2,260
412693,T20,New Zealand|Pakistan,2010-05-08,Barbados,"Kensington Oval, Bridgetown",True,2,254
356005,T20,Pakistan|Sri Lanka,2009-06-12,London,Lord's,True,2,254
1332496,T20,Botswana|Uganda,2022-09-15,Benoni,"Willowmoore Park, Benoni",True,2,235
1373570,T20,South Africa|Australia,2023-09-03,Durban,"Kingsmead, Durban",True,2,233
1217741,T20,Thailand|Malaysia,2020-03-01,Bangkok,Terdthai Cricket Ground,True,2,194
1412542,T20,Zimbabwe|Sri Lanka,2024-01-14,Colombo,"R Premadasa Stadium, Colombo",True,2,245
1147736,T20,Bangladesh|Ireland,2018-07-14,Utrecht,Sportpark Maarschalkerweerd,True,2,247
1476155,T20,Namibia|Hong Kong,2025-03-09,Entebbe,Entebbe Cricket Oval,True,2,248
1426619,T20,New Zealand|Australia,2024-09-24,Brisbane,"Allan Border Field, Brisbane",True,2,247
1298168,T20,Zimbabwe|Netherlands,2022-11-02,Adelaide,Adelaide Oval,True,2,236
1272373,T20,Zimbabwe|Ireland,2021-08-27,Dublin,"Castle Avenue, Dublin",True,2,244
1336080,T20,England|Sri Lanka,2023-08-31,Brighton,"County Ground, Hove",True,2,150
251487,T20,New Zealand|Sri Lanka,2006-12-22,Wellington,Westpac Stadium,True,2,160
1464730,T20,Singapore|Philippines,2024-12-24,Singapore,Singapore National Cricket Ground,True,2,273
1319711,T20,India|Sri Lanka,2022-06-27,Dambulla,Rangiri Dambulla International Stadium,True,2,230
623572,T20,Zimbabwe|Bangladesh,2013-05-12,Bulawayo,Queens Sports Club,True,2,252
533312,T20,Australia|West Indies,2012-10-05,Colombo,R Premadasa Stadium,True,2,241
1153698,T20,New Zealand|India,2019-02-10,Hamilton,Seddon Park,True,2,250
1463653,T20,Saudi Arabia|Kuwait,2024-12-13,Dubai,"ICC Academy, Dubai",True,2,226
287867,T20,South Africa|England,2007-09-16,Cape Town,Newlands,True,2,248
1074964,T20,Netherlands|Scotland,2017-01-17,Abu Dhabi,Sheikh Zayed Stadium,True,2,246
1440451,T20,Bhutan|Singapore,2024-07-08,Bali,Udayana Cricket Ground,True,2,261
1336953,T20,Indonesia|Japan,2022-10-16,Sano,Sano International Cricket Ground,True,2,176
1462896,T20,Panama|Brazil,2024-12-12,Buenos Aires,"Belgrano Athletic Club Ground, Buenos Aires",True,2,242
1426768,T20,Bangladesh|India,2024-07-26,Dambulla,Rangiri Dambulla International Stadium,True,2,191
1276914,T20,South Africa|England,2022-07-28,Cardiff,"Sophia Gardens, Cardiff",True,2,234
682927,T20,Australia|Pakistan,2014-03-23,Mirpur,Shere Bangla National Stadium,True,2,245
1398256,T20,Bangladesh|South Africa,2023-12-08,Kimberley,"Diamond Oval, Kimberley",True,2,224
1310901,T20,New Zealand|Netherlands,2022-08-04,The Hague,"Sportpark Westvliet, The Hague",True,2,246
1299568,T20,United Arab Emirates|Ireland,2022-02-18,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,248
690351,T20,Bangladesh|Sri Lanka,2014-02-12,Chittagong,Zahur Ahmed Chowdhury Stadium,True,2,245
1432429,T20,Scotland|West Indies,2024-10-06,Dubai,Dubai International Cricket Stadium,True,2,195
1275129,T20,Zimbabwe|Uganda,2021-09-17,Gaborone,"Botswana Cricket Association Oval 1, Gaborone",True,2,253
1454384,T20,Malawi|Rwanda,2024-10-09,Blantyre,"TCA Oval, Blantyre",True,2,223
1198490,T20,Pakistan|Sri Lanka,2019-10-07,Lahore,Gaddafi Stadium,True,2,246
1286974,T20,Malaysia|Hong Kong,2021-11-25,Dubai,"ICC Academy Ground No 2, Dubai",True,2,240
1321472,T20,Uganda|Papua New Guinea,2022-07-12,Bulawayo,Bulawayo Athletic Club,True,2,224
